"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"GEOID*",1,1234,617.5,356.36942442733,617.5,617.5,457.3821,1,1234,1233,0,-1.20291773344735,10.1447851956888
"NAME*",2,1234,617.5,356.36942442733,617.5,617.5,457.3821,1,1234,1233,0,-1.20291773344735,10.1447851956888
"CostFirst_2014",3,1234,22.1076370428608,2.81827305337973,21.7851624444846,21.9631372512876,2.61843544092645,12.1336206896552,33.3460335195531,21.2124128298979,0.483413141745789,0.656031798039994,0.0802279117948444
"PointChangeFirst",4,1234,-1.99762988648311,1.2143063185929,-2.05719010624767,-1.99860963329195,1.02534396240928,-9.49022939613244,6.50295416077287,15.9931835569053,-0.0918969463733016,4.33658398849676,0.0345677151840074
"CostFirst_2019",5,1234,20.1100071563777,2.5949480473732,19.6290767292851,19.9317300480536,2.30055339108521,13.0275216138329,32.6518715675358,19.624349953703,0.713952414812,0.863634187725896,0.0738705083267922
"StarterOverTotPP_2014",6,1234,1.91389389990377,1.97843723271042,1.39615767812974,1.56869209694135,1.18501761148756,0,25.1098084120935,25.1098084120935,3.14790110769043,19.893725095429,0.0563202659185847
"StarterRatioPPchange",7,1234,0.896169594765325,1.7194930252435,0.409786673121177,0.642369265979826,0.796850118902608,-12.1394694290426,10.7645093055512,22.9039787345938,1.44644493400266,8.31908025741007,0.0489488889643437
"StarterOverTotPP_2019",8,1234,2.81006349466909,2.94050027955804,1.893517017658,2.26941292849841,1.85660457776003,0,18.7913580034719,18.7913580034719,2.02533705366967,4.98943952985979,0.0837073600012567
"StarterRatioDecade",9,1234,4.61788199779619,4.49889005618444,3.27759545692293,3.8243280378886,2.9246238748614,0,33.7217514124294,33.7217514124294,2.04884866485322,5.56218428951351,0.128070115196761
"pointFromInternal_2014",10,1234,-0.0221518715890558,1.14728448660432,-0.0112985511780912,-0.0123478233645755,0.675066970741916,-9.02229447282861,6.7132570944515,15.7355515672801,-0.561992017873677,9.68644698601456,0.0326598015350228
"pointChangeInternal",11,1234,0.156525981622595,1.47019627475874,0.0594365527026973,0.12371676393622,0.845057244618175,-8.16632763986022,8.97797854319593,17.1443061830562,0.136862043397427,6.58237890497092,0.0418521466225581
"pointFromInternal_2019",12,1234,0.134374110033539,1.10291440439633,0.0717421218364785,0.116410511973828,0.751326318047395,-5.64393939393939,6.07338675664277,11.7173261505822,0.328859510960524,4.37047682752158,0.0313967163142905
"pointcontributionFromInternal",13,1234,0.105612251507727,1.69524693887016,0.0626652049515028,0.0986784541164847,1.19830420682847,-13.5982500911411,7.64991181657848,21.2481619077196,-0.378847145858352,7.12220920160298,0.0482586744811877
"pointFromExternal_2014",14,1234,0.234236448052726,1.57595805189336,0.0195361700624166,0.122979559380271,1.16873680929159,-7.58072063640618,14.1864406779661,21.7671613143723,1.38500877655222,9.11435410517993,0.0448628721152662
"pointChangeExternal",15,1234,-0.0646649098720568,1.56254028527922,-0.0322721725524792,-0.0431015423183739,1.07984681116534,-10.0886940489452,7.35616356299348,17.4448576119387,-0.605892381874642,5.63612028136233,0.044480907920877
"pointFromExternal_2019",16,1234,0.169571538180669,1.70208930284102,0.0240065792046792,0.113810809790142,1.25901986020656,-9.96212121212121,14.9531225170825,24.9152437292037,0.562226339943396,8.47308937888331,0.0484534563787275
"pointcontributionFromExternal",17,1234,0.383173658446334,2.85211243177489,0.0946133088673264,0.196905556818278,2.0974480114525,-15.0822319493434,28.2536151279199,43.3358470772633,1.37554231708681,10.8307047805943,0.081191218973978
