"","GEOID","NAME","CostFirst_2014","PointChangeFirst","CostFirst_2019","StarterOverTotPP_2014","StarterRatioPPchange","StarterOverTotPP_2019","StarterRatioDecade","pointFromInternal_2014","pointChangeInternal","pointFromInternal_2019","pointcontributionFromInternal","pointFromExternal_2014","pointChangeExternal","pointFromExternal_2019","pointcontributionFromExternal","pointFromForeign_2014","pointChangeForeign","pointFromForeign_2019","pointcontributionFromForeign","hispMale25_54overMale25_54_2014","pointCHANGEhispPRIMEmale","hispMale25_54overMale25_54_2019","female22_29overFemale15_49_2014","pointCHANGEpostGRADfertPREV","female22_29overFemale15_49_2019","whiteMALE45_54overMALE45_54_2014","pointCHANGEpeakWHTmaleEARNERSprev","whiteMALE45_54overMALE45_54_2019","black0_17over0_17_2014","pointCHANGEblackYOUTHprev","black0_17over0_17_2019","asian0_17over0_17_2014","pointCHANGEasianYOUTHprev","asian0_17over0_17_2019","pop65plusOVERpop_2014","pointCHANGEretireePREV","pop65plusOVERpop_2019","OCCroomsMOREthanONEocc_14","pointCHNGoccRMmoreTHANone","OCCroomsMOREthanONEocc_19","density_2014","densityPointChange","density_2019"
"1","53005","Benton County, Washington",20.2659512195122,-0.756152409179556,19.5097988103326,5.13695719910489,0.938514004053514,6.07547120315841,10.8327540299839,0.0483375720257288,-0.415392726492663,-0.367055154466935,-0.322502252959224,0.38285554206742,-0.611189162294437,-0.228333620227017,0.124545611032919,0.762964631178833,-0.449575471709822,0.31338915946901,1.01661620713049,18.9876973203753,3.06921173671977,22.056909057095,23.3522350688563,0.333493057369136,23.6857281262255,85.7201510921334,-2.45424767472784,83.2659034174055,2.33186057928326,-0.27429410551345,2.05756647376981,2.53027327769596,-0.958731237528024,1.57154204016793,12.5002059839717,2.00682628650491,14.5070322704766,3.38461538461538,-0.19553037470149,3.18908500991389,4.13375140553094e-05,3.51153046017017e-06,4.48490445154795e-05
"2","53011","Clark County, Washington",24.6888536500262,-2.39217436844642,22.2966792815797,3.6125530910807,3.25943036099928,6.87198345207998,10.2231561436342,0.550571334696262,-0.104297467919154,0.446273866777108,0.956150211726522,-0.531861492406542,0.715273289926679,0.183411797520137,-0.309137626465393,0.428729191004673,0.051564605957622,0.480293796962295,0.87733385173227,8.1630109670987,1.54795809889527,9.71096906599397,20.4653226203973,1.36416244721492,21.8294850676122,87.9483735709372,-1.66315495044695,86.2852186204902,2.29897244237107,-0.695867187458187,1.60310525491288,3.72147268534471,0.17489117255158,3.89636385789629,12.6022196261682,2.43480081959852,15.0370204457667,2.79017022655335,0.258592805835107,3.04876303238846,0.000269014428415333,2.14709694116173e-05,0.00029048539782695
"3","53015","Cowlitz County, Washington",25.3784257512888,-2.61369939736053,22.7647263539283,1.55577547122046,1.71411337045162,3.26988884167207,4.78182102838228,-0.682851320636414,2.090444645104,1.40759332446759,0.754837138736444,-1.74974527784309,0.698030505137103,-1.05171477270599,-2.7243439659855,0.102868563367035,0.213676043199861,0.316544606566896,0.414879469553653,8.73756056895743,0.950469445947229,9.68803001490466,20.9691050802892,3.06141272929047,24.0305178095797,94.1596638655462,-5.74789915966386,88.4117647058824,0.475951903807615,0.104682705286268,0.580634609093883,1.13977955911824,-0.13798040962527,1.00179914949297,16.7871698408966,2.02007509719924,18.8072449380959,2.57512888218282,0.158948158244331,2.73407704042715,3.45638332245148e-05,1.59355552114749e-06,3.61573887456622e-05
"4","53045","Mason County, Washington",24.2689899995671,-2.72315838246518,21.5458316171019,1.91127745735673,1.0227881487084,2.93406560606513,4.79360057308301,0.513766302199974,1.40304142145372,1.91680772365369,2.40580527866591,-0.553286786984587,-0.260141838179979,-0.813428625164566,-1.34004137671619,0.546700039520485,-0.286528263456288,0.260171776064197,0.78051532819259,10.1687727928081,0.934591334784745,11.1033641275928,22.1417069243156,-0.274210259131095,21.8674966651845,89.1494252873563,1.86333604851117,91.0127613358675,2.14588704982118,-1.34066923840319,0.805217811417989,1.47217832487732,-0.61864744477425,0.853530880103068,19.7322487155842,2.81022511050816,22.5424738260924,2.99147149227239,0.167767324763607,3.159238817036,2.44378514389586e-05,1.2378282015913e-06,2.56756796405499e-05
"5","53061","Snohomish County, Washington",25.6561945240393,-2.51752498489497,23.1386695391443,3.38890069876362,0.565930709014484,3.9548314077781,7.14191282926027,0.633982955078595,0.462150283446808,1.0961332385254,1.67975283171926,0.0650029713701348,-0.704080196435482,-0.639077225065347,-0.579238064716427,0.618888122814819,0.0609999103546034,0.679888033169422,1.24961192176343,9.63422300617054,0.795453304342205,10.4296763105127,21.9357616464307,0.559607670827912,22.4953693172586,82.867559835322,-4.70388013195839,78.1636797033636,2.82918650121448,0.256577481325581,3.08576398254006,8.66040000229688,1.0526558728194,9.71305587511628,11.2330030148868,1.8671411999934,13.1001442148802,2.74976612624027,0.50185134414156,3.25161747038183,0.000136026083308867,1.17383496704714e-05,0.000147764432979338
"6","53057","Skagit County, Washington",25.3799664525812,-2.92924160569605,22.4507248468851,1.34920634920635,1.76437055317429,3.11357690238064,4.40688029985341,-0.840627217735122,1.3915299977243,0.550902779989173,-0.241218991816069,0.472271974586868,-0.295537267711728,0.176734706875139,0.621755883195873,0.370889797573587,0.164887039034381,0.535776836607967,0.885265738942139,18.4930266256113,1.61500077646142,20.1080274020727,22.08917405697,1.49765463765952,23.5868286946296,88.347022587269,-5.83741248293073,82.5096101043383,0.54692948647359,0.416175622328322,0.963105108801912,1.59674044708733,-0.0543239946451659,1.54241645244216,17.4419587036599,2.81964050660664,20.2615992102665,4.48696726919597,0.517878791060153,5.00484606025612,2.63980143838397e-05,1.61647805290519e-06,2.80144924367449e-05
"7","53029","Island County, Washington",24.0144485070079,-0.901367512990436,23.1130809940175,2.5161896287508,1.72465806348346,4.24084769223426,6.67032599875901,0.493977277045256,0.692275226997415,1.18625250404267,1.65689184949195,-0.338184443515598,-1.84968512904733,-2.18786957256293,-2.51007650906282,1.08041696748616,-0.636326508190432,0.44409045929573,1.47346318152198,6.87553161326907,2.64827791054046,9.52380952380952,23.9759658870655,4.29866174190591,28.2746276289714,87.9780309194467,-1.51921286453745,86.4588180549093,3.02952667648754,1.51952917984416,4.5490558563317,3.95823992826491,0.485177475670125,4.44341740393503,20.298666261352,3.65325611935905,23.951922380711,1.20353443022547,0.588343158361734,1.79187758858721,0.000146233019199769,7.25136185947099e-06,0.00015348438105924
"8","53035","Kitsap County, Washington",24.4309644566449,-2.02660888996889,22.404355566676,2.53597089082211,1.36256427495879,3.8985351657809,6.33489783424571,-0.741283998517432,1.04517820722656,0.303894208709127,-0.403186375911118,1.14268139771464,0.587785501135228,1.73046689884987,2.82042409790809,1.0271514979457,-0.714606835275791,0.312544662669906,1.29230260040168,7.07791823614097,1.60044079261012,8.67835902875109,23.0986383261375,2.59457594666537,25.6932142728029,87.1754700089525,-2.82155848683307,84.3539115221195,3.18360942859228,-0.67674758046785,2.50686184812443,3.25658614901846,0.256680090688765,3.51326623970723,14.5827911708344,2.77227611465313,17.3550672854875,1.75828885736736,0.182757979890728,1.94104683725809,0.000247937350636441,1.19934050076409e-05,0.000259930755644082
"9","53041","Lewis County, Washington",23.4998981324278,-1.63010258732366,21.8697955451042,1.54491088180113,1.39124480273285,2.93615568453397,4.43552975987254,0.0490833355442944,1.32272548139857,1.37180881694286,1.41915669588585,1.48443925605582,0.0345318873314704,1.51897114338729,2.95092456331179,0.364808574991377,-0.233002317393322,0.131806257598055,0.483716168660823,10.2442234571512,1.21678768252317,11.4610111396744,20.4554403465022,2.51363973799947,22.9690800845016,92.223291626564,-0.498126768023269,91.7251648585407,1.27418593676262,-0.906408027164807,0.367777909597817,0.979235488437942,0.598650381772047,1.57788587020999,18.3279828075668,2.3847947213858,20.7127775289526,3.26655348047538,-0.607986624377662,2.65856685609772,1.2113014230588e-05,4.43982095448711e-07,1.25569963260368e-05
"10","53053","Pierce County, Washington",26.1227266694098,-2.08789295665116,24.0348337127586,3.02075859469057,0.653648215252318,3.67440680994289,6.53762585657393,0.330261637600607,0.377709623942836,0.707971261543443,1.014010054583,0.251387677204933,0.082472824292764,0.333860501497697,0.566810298136972,0.781233657647636,-0.199942388304993,0.581291269342644,1.30522580623092,9.66886793008583,1.56609236729886,11.2349602973847,24.3591646999196,0.490761237556011,24.8499259374756,79.9972026504887,-3.19214522919387,76.8050574212948,6.93668458374341,-0.822592382340301,6.11409220140311,4.91331667802256,-0.331871458386826,4.58144521963573,11.8550884778802,1.66877034747356,13.5238588253538,2.7166483057034,0.0978003729069119,2.81444867861031,0.00018795242945609,1.48763574655662e-05,0.000202828786921656
